Name;Instance count;Size (bytes)
java.util.WeakHashMap$Entry[ ];57;6000
scala.collection.mutable.WrappedArray$ofDouble;56;896
scala.runtime.RichDouble;54;2592
sun.java2d.loops.SurfaceType;53;1696
com.siigna.app.view.Graphics$$anonfun$draw$4;53;848
com.siigna.app.view.Graphics$$anonfun$draw$3;53;848
java.util.concurrent.locks.ReentrantLock;53;848
java.awt.Rectangle;52;1664
java.util.WeakHashMap;52;2496
java.awt.Color;50;1600
sun.util.locale.LocaleObjectCache$CacheEntry;48;2304
javax.management.MBeanInfo;48;2304
java.util.concurrent.CopyOnWriteArrayList;48;1152
javax.management.MBeanAttributeInfo[ ];48;2448
sun.java2d.loops.MaskFill;47;2256
java.io.ObjectStreamField[ ];47;1392
java.util.logging.Logger;46;2944
java.security.Provider$ServiceKey;46;1104
com.sun.jmx.mbeanserver.PerInterface$MethodAndSig;46;1104
java.io.ExpiringCache$Entry;45;1080
javax.management.openmbean.OpenMBeanAttributeInfoSupport;45;2880
javax.management.MBeanOperationInfo;43;1720
java.lang.Package;42;2352
javax.management.ObjectName$Property[ ];41;976
com.jprofiler.agent.util.a.a.v;41;2952
sun.reflect.DelegatingConstructorAccessorImpl;41;656
sun.reflect.NativeConstructorAccessorImpl;40;960
com.jprofiler.agent.probe.a.a.s;40;960
javax.management.MBeanOperationInfo[ ];39;1192
com.siigna.app.model.Drawing$$anonfun$4;37;592
com.siigna.app.model.Drawing$$anonfun$5;37;592
scala.concurrent.forkjoin.ForkJoinPool$WaitQueueNode;36;1152
java.security.AccessControlContext;35;1120
javax.management.MBeanParameterInfo;35;1120
sun.util.logging.PlatformLogger;34;544
java.util.Date;34;816
sun.util.logging.PlatformLogger$JavaLogger;34;1088
scala.Predef$ArrowAssoc;33;528
java.util.Collections$SingletonList;33;792
sun.awt.SunHints$Value;32;768
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping;32;768
sun.font.SunFontManager$FontRegistrationInfo;31;992
java.lang.ThreadLocal$ThreadLocalMap$Entry;31;992
javax.management.MBeanParameterInfo[ ];30;728
sun.java2d.loops.DrawGlyphListAA;30;1440
javax.management.ObjectName$Property;30;720
java.security.Provider$EngineDescription;30;960
java.security.ProtectionDomain;29;1160
java.security.Principal[ ];29;464
java.security.ProtectionDomain$Key;29;464
sun.misc.URLClassPath$JarLoader;29;1392
java.security.CodeSource;29;928
java.math.BigDecimal;28;1120
sun.java2d.loops.BlitBg;27;1296
com.jprofiler.agent.util.a.t[ ];27;2160
com.jprofiler.agent.util.a.s;27;1296
com.siigna.module.base.radialmenu.MenuModule;27;648
java.util.Locale;26;624
com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed;26;624
com.jprofiler.agent.probe.a.a.s[ ];26;656
sun.util.locale.BaseLocale;25;800
sun.nio.cs.UTF_8$Encoder;25;1200
sun.util.locale.BaseLocale$Key;25;1000
sun.font.EAttribute;24;768
