"Name";"Instance count";"Size (bytes)"
"java.util.TreeMap$Entry";134;5360
"java.lang.reflect.Constructor";129;9288
"com.sun.jmx.mbeanserver.ConvertingMethod";128;4096
"java.lang.Character";128;2048
"scala.concurrent.forkjoin.LinkedTransferQueue$QNode";115;3680
"scala.collection.parallel.immutable.ParVector$$anon$1";114;9120
"scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl";114;3648
"scala.collection.parallel.ParIterableLike$Foreach";114;3648
"scala.util.control.Breaks$$anon$1";114;2736
"scala.collection.parallel.ForkJoinTaskSupport";114;2736
"scala.collection.parallel.immutable.ParVector";114;2736
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$1";114;2736
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$2";114;1824
"java.awt.geom.Rectangle2D$Double";114;5472
"scala.collection.parallel.immutable.LazyParVectorCombiner";113;2712
"scala.collection.Parallelizable$$anonfun$par$1";113;1808
"scala.collection.immutable.VectorIterator";113;7232
"scala.collection.parallel.immutable.LazyParVectorCombiner$$anonfun$result$1";113;1808
"scala.util.PropertiesTrait$$anonfun$isJavaAtLeast$1";113;1808
"java.lang.reflect.Method[ ]";98;4488
"java.lang.ref.ReferenceQueue$Lock";97;1552
"java.lang.ref.ReferenceQueue";95;3040
"com.jprofiler.agent.probe.structures.o";92;3680
"java.util.logging.LogManager$LoggerWeakRef";91;4368
"java.math.BigInteger";89;3560
"sun.java2d.loops.MaskBlit";88;4224
"sun.java2d.StateTrackableDelegate";68;1632
"sun.reflect.generics.tree.TypeArgument[ ]";66;1112
"sun.reflect.generics.tree.SimpleClassTypeSignature";66;1584
"int[ ][ ]";65;1696
"scala.collection.mutable.DefaultEntry";65;1560
"java.util.HashSet";63;1008
"java.net.URL";62;3968
"java.util.logging.LogManager$LogNode";61;1464
"javax.management.MBeanAttributeInfo";60;1920
"java.awt.image.BufferedImage";60;2880
"com.jprofiler.agent.util.a.b";60;3360
"com.jprofiler.agent.util.a.i[ ]";60;8640
"sun.awt.image.BufImgSurfaceData";60;4320
"com.jprofiler.agent.util.a.d[ ]";60;16832
"sun.java2d.pipe.Region";59;2360
"sun.awt.image.IntegerInterleavedRaster";59;6136
"java.awt.image.SinglePixelPackedSampleModel";59;2832
"java.awt.image.DataBufferInt";59;2832
"sun.java2d.SunGraphics2D";58;12064
"com.siigna.app.view.Graphics";58;1392
"java.awt.Point";58;1392
"com.siigna.app.view.View$$anonfun$1";57;912
"java.awt.geom.Path2D$Float$TxIterator";57;1824
"sun.java2d.loops.GraphicsPrimitiveMgr$PrimitiveSpec";57;912
"scala.collection.mutable.ArrayOps$ofRef";57;912
"scala.collection.mutable.HashMap$$anon$1$$anonfun$foreach$2";57;912
"scala.collection.mutable.HashMap$$anon$1";57;1368
"java.awt.geom.GeneralPath";57;1824
"java.awt.ColorPaintContext";57;1368
"sun.java2d.pipe.AlphaPaintPipe$TileContext";57;2736
"com.siigna.app.view.View$$anonfun$paint$3";57;1368
"com.siigna.app.view.View$$anonfun$paint$4";57;1368
"com.siigna.module.ModuleMenu$$anonfun$paint$3";57;912
"com.siigna.module.ModuleMenu$$anonfun$paint$5";57;912
"com.siigna.module.ModuleMenu$$anonfun$paint$4";57;912
"java.awt.RenderingHints";57;912
"com.siigna.app.view.View$$anonfun$5";56;896
"com.siigna.util.RichColorString";56;896
"scala.collection.immutable.StringOps";56;896
"com.siigna.app.model.shape.PolylineShape$$anonfun$8";56;896
"java.util.WeakHashMap$Entry[ ]";55;4944
"sun.java2d.loops.SurfaceType";53;1696
"java.util.concurrent.locks.ReentrantLock";52;832
"java.util.WeakHashMap";50;2400
"sun.util.locale.LocaleObjectCache$CacheEntry";48;2304
"javax.management.MBeanInfo";48;2304
"java.util.concurrent.ConcurrentHashMap$Segment[ ]";48;3840
"javax.management.MBeanAttributeInfo[ ]";48;2448
"java.util.concurrent.ConcurrentHashMap";48;2304
"sun.java2d.loops.MaskFill";47;2256
"java.security.Provider$ServiceKey";47;1128
"java.util.concurrent.CopyOnWriteArrayList";47;1128
"java.lang.ref.Finalizer";46;1840
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig";46;1104
"java.io.ObjectStreamField[ ]";46;1368
"java.util.logging.Logger";45;2880
"java.lang.management.MemoryUsage";45;2160
"javax.management.openmbean.OpenMBeanAttributeInfoSupport";45;2880
"long[ ]";44;4200
"java.io.ExpiringCache$Entry";44;1056
"javax.management.MBeanOperationInfo";43;1720
"javax.management.ObjectName$Property[ ]";41;976
"com.jprofiler.agent.util.a.a.v";41;2952
"com.jprofiler.agent.probe.a.a.s";40;960
"javax.management.MBeanOperationInfo[ ]";39;1192
"java.lang.Package";38;2128
