"Name";"Instance count";"Size (bytes)"
"scala.collection.generic.GenTraversableFactory$GenericCanBuildFrom";93;1488
"com.jprofiler.agent.probe.structures.o";92;3680
"double[ ]";90;4360
"java.math.BigInteger";89;3560
"sun.java2d.loops.MaskBlit";88;4224
"java.awt.Color";83;2656
"java.lang.ref.PhantomReference";83;2656
"java.util.HashSet";78;1248
"sun.java2d.DefaultDisposerRecord";78;2496
"scala.runtime.ObjectRef";77;1232
"java.awt.Rectangle";75;2400
"com.siigna.app.model.shape.Shape[ ]";75;4672
"scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl";74;2368
"com.siigna.app.model.shape.PolylineLineShape";74;1184
"scala.actors.MQueueElement";72;1728
"java.net.URL";69;4416
"java.util.concurrent.ConcurrentHashMap$Segment[ ]";66;5280
"java.util.logging.LogManager$LogNode";66;1584
"sun.reflect.generics.tree.TypeArgument[ ]";66;1112
"sun.reflect.generics.tree.SimpleClassTypeSignature";66;1584
"java.util.concurrent.ConcurrentHashMap";66;3168
"scala.concurrent.forkjoin.LinkedTransferQueue$QNode";64;2048
"scala.actors.Reactor$$anonfun$seq$1";61;1464
"scala.actors.Combinators$$anonfun$loop$1";61;1464
"javax.management.MBeanAttributeInfo";60;1920
"com.jprofiler.agent.util.a.b";60;3360
"com.jprofiler.agent.util.a.i[ ]";60;8640
"com.jprofiler.agent.util.a.d[ ]";60;16832
"java.util.zip.ZipFile$ZipFileInflaterInputStream";59;3304
"sun.reflect.DelegatingConstructorAccessorImpl";59;944
"java.util.zip.ZipFile$ZipFileInputStream";59;3304
"java.util.WeakHashMap$Entry[ ]";58;7040
"scala.collection.mutable.WrappedArray$ofDouble";57;912
"sun.reflect.NativeConstructorAccessorImpl";56;1344
"scala.collection.TraversableOnce$$anonfun$foldLeft$1";56;1344
"com.siigna.app.model.SpatialModel$$anonfun$mbr$1";56;896
"java.lang.reflect.Constructor[ ]";55;1216
"sun.java2d.loops.SurfaceType";53;1696
"java.util.concurrent.locks.ReentrantLock";53;848
"scala.runtime.RichDouble";53;2544
"java.net.Inet4Address";53;1696
"java.net.SocksSocketImpl";53;5936
"java.net.DualStackPlainSocketImpl";53;4240
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node";52;1664
"scala.collection.mutable.ArrayOps$ofRef";52;832
"java.util.WeakHashMap";52;2496
"com.siigna.app.model.action.CreateShape";51;1224
"scala.collection.immutable.Stream$$anonfun$iterate$1";51;1224
"java.net.Socket";51;1632
"scala.collection.immutable.Stream$Cons";51;1224
"scala.actors.Channel";50;800
"com.siigna.util.event.MouseMove";49;1568
"sun.util.locale.LocaleObjectCache$CacheEntry";48;2304
"javax.management.MBeanInfo";48;2304
"java.util.concurrent.CopyOnWriteArrayList";48;1152
"javax.management.MBeanAttributeInfo[ ]";48;2448
"sun.java2d.loops.MaskFill";47;2256
"scala.runtime.RichInt";47;1128
"java.io.ExpiringCache$Entry";47;1128
"java.io.ObjectStreamField[ ]";47;1392
"java.lang.Package";47;2632
"java.util.logging.Logger";46;2944
"java.security.Provider$ServiceKey";46;1104
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig";46;1104
"javax.management.openmbean.OpenMBeanAttributeInfoSupport";45;2880
"java.util.concurrent.atomic.AtomicInteger";45;720
"scala.reflect.ClassTypeManifest";44;1056
"scala.collection.parallel.ParIterableLike$Map";44;1760
"scala.collection.mutable.ArrayBuilder$ofRef";44;1408
"scala.collection.immutable.Vector";43;2408
"javax.management.MBeanOperationInfo";43;1720
"scala.collection.immutable.TrieIterator$$anon$1";42;2016
"scala.actors.scheduler.ForkJoinScheduler$$anon$2";42;672
"java.security.ProtectionDomain";42;1680
"java.security.Principal[ ]";42;672
"scala.util.control.Breaks$$anon$1";42;1008
"java.security.ProtectionDomain$Key";42;672
"java.security.CodeSource";42;1344
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$1";42;1008
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$2";42;672
"javax.management.ObjectName$Property[ ]";41;976
"java.io.FileDescriptor";41;1312
"com.jprofiler.agent.util.a.a.v";41;2952
"scala.actors.ActorTask";40;1920
"com.jprofiler.agent.probe.a.a.s";40;960
"javax.management.MBeanOperationInfo[ ]";39;1192
"scala.actors.Actor$$anon$5";38;1520
"scala.actors.remote.Locator";38;912
"scala.actors.ActorCanReply$$anonfun$$bang$qmark$1";38;608
"scala.actors.remote.DelegateActor$$anonfun$act$1$$anonfun$apply$1";38;608
"scala.actors.Actor$$anonfun$1";38;912
"scala.actors.Channel$$anonfun$receiveWithin$1";38;912
"com.siigna.app.model.Drawing$$anonfun$4";36;576
"com.siigna.app.model.Drawing$$anonfun$5";36;576
"java.lang.ThreadLocal$ThreadLocalMap$Entry";36;1152
"java.security.AccessControlContext";35;1120
"javax.management.MBeanParameterInfo";35;1120
"sun.util.logging.PlatformLogger";34;544
"java.util.Date";34;816
"sun.util.logging.PlatformLogger$JavaLogger";34;1088
"sun.reflect.DelegatingClassLoader";33;2112
"scala.collection.immutable.VectorBuilder";33;1584
"java.util.Collections$SingletonList";33;792
"scala.Predef$ArrowAssoc";32;512
"scala.collection.parallel.ParIterableLike$Accessor$$anonfun$split$2";32;512
"scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl$$anonfun$split$1";32;512
"scala.collection.parallel.AdaptiveWorkStealingTasks$TaskImpl$$anonfun$spawnSubtasks$1";32;512
"com.siigna.util.event.MouseUp";32;1024
"sun.awt.SunHints$Value";32;768
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping";32;768
"scala.collection.parallel.ParIterableLike$SignalContextPassingIterator$$anonfun$split$1";32;512
"sun.font.FontStrikeDisposer";31;1488
"sun.font.StrikeCache$SoftDisposerRef";31;1488
"sun.font.FileFontStrike";31;3720
"sun.font.SunFontManager$FontRegistrationInfo";31;992
"sun.reflect.BootstrapConstructorAccessorImpl";31;496
"com.siigna.util.event.KeyUp";30;720
"scala.collection.mutable.HashEntry[ ]";30;4640
"com.siigna.util.event.KeyDown";30;720
"javax.management.MBeanParameterInfo[ ]";30;728
"sun.java2d.loops.DrawGlyphListAA";30;1440
"javax.management.ObjectName$Property";30;720
"java.security.Provider$EngineDescription";30;960
"sun.misc.URLClassPath$JarLoader";29;1392
"scala.collection.parallel.immutable.ParVector$$anon$1";28;2240
"java.math.BigDecimal";28;1120
"scala.collection.parallel.ParIterableLike$Foreach";28;896
"scala.collection.parallel.ForkJoinTaskSupport";28;672
"scala.collection.parallel.immutable.ParVector";28;672
"sun.java2d.loops.BlitBg";27;1296
"com.jprofiler.agent.util.a.t[ ]";27;2160
"scala.collection.parallel.immutable.LazyParVectorCombiner";27;648
"com.jprofiler.agent.util.a.s";27;1296
"scala.actors.MQueue";27;864
"com.siigna.module.base.radialmenu.MenuModule";27;648
"scala.Array$$anon$2";27;432
"scala.util.PropertiesTrait$$anonfun$isJavaAtLeast$1";27;432
"java.util.Locale";26;624
"com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed";26;624
"sun.nio.cs.UTF_8$Encoder";26;1248
"com.jprofiler.agent.probe.a.a.s[ ]";26;656
"com.siigna.util.event.MouseDown";25;800
"scala.collection.mutable.ArrayOps$ofInt";25;400
"scala.collection.mutable.ArrayBuilder$ofInt";25;600
"sun.util.locale.BaseLocale";25;800
"sun.util.locale.BaseLocale$Key";25;1000
"com.siigna.util.geom.TransformationMatrix$$anonfun$flipY$1";25;400
"sun.font.EAttribute";24;768
"java.awt.font.TextAttribute";23;368
"com.jprofiler.api.agent.probe.ThreadLocalStack";23;368
"java.awt.AWTKeyStroke";23;552
"java.util.jar.Attributes$Name";23;552
"java.security.Provider$UString";23;552
"com.jprofiler.api.agent.probe.ThreadLocalStack$1";23;552
"com.siigna.app.controller.Controller$$anonfun$act$1$$anonfun$apply$1";23;368
"java.security.Provider$Service";23;1288
"scala.collection.mutable.HashMap";22;704
"sun.java2d.pipe.PixelToParallelogramConverter";22;1056
"sun.reflect.generics.tree.ClassTypeSignature";21;336
"scala.Tuple3";21;504
"com.siigna.app.model.Drawing$$anonfun$3";21;336
"com.siigna.app.model.Drawing$$anonfun$2";21;336
"scala.collection.TraversableOnce$$anonfun$sum$1";21;336
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator$$anon$4";21;840
