"Name";"Instance count";"Size (bytes)"
"sun.font.StandardGlyphVector$GlyphStrike";196;6272
"sun.font.StandardGlyphVector";196;15680
"sun.font.ExtendedTextSourceLabel";193;10808
"java.awt.font.TextLayout";193;10808
"com.siigna.app.model.shape.TextShape$$anonfun$fontSize$1";193;3088
"sun.font.TextLabelFactory";193;7720
"java.awt.font.TextLine$TextLineMetrics";193;6176
"sun.font.StandardTextSource";193;10808
"sun.font.AttributeMap";193;6176
"java.awt.font.TextLine";193;13896
"javax.management.ImmutableDescriptor";189;4536
"java.awt.Shape[ ]";186;7920
"sun.java2d.loops.ScaledBlit";163;7824
"com.siigna.util.geom.Circle2D";156;6240
"java.lang.ref.PhantomReference";154;4928
"scala.collection.immutable.Stream$$anonfun$iterate$1";152;3648
"com.siigna.app.model.action.CreateShape";152;3648
"scala.collection.immutable.Stream$Cons";152;3648
"sun.java2d.DefaultDisposerRecord";146;4672
"scala.runtime.ObjectRef";143;2288
"java.io.ObjectStreamField";140;5600
"com.siigna.app.model.shape.ArcShape";139;6672
"com.siigna.util.geom.Arc2D";139;15568
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]";135;2536
"double[ ]";135;6256
"java.util.TreeMap$Entry";134;5360
"com.sun.jmx.mbeanserver.ConvertingMethod";128;4096
"java.lang.Character";128;2048
"scala.concurrent.forkjoin.LinkedTransferQueue$QNode";126;4032
"scala.actors.Reactor$$anonfun$seq$1";125;3000
"scala.actors.Combinators$$anonfun$loop$1";125;3000
"java.awt.Rectangle";125;4000
"scala.actors.ActorTask";117;5616
"scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl";113;3616
"long[ ]";112;21576
"scala.actors.remote.Locator";110;2640
"java.awt.Color";105;3360
"char[ ][ ]";104;2520
"java.net.Inet4Address";101;3232
"java.lang.ref.ReferenceQueue$Lock";100;1600
"java.net.DualStackPlainSocketImpl";100;8000
"java.net.SocksSocketImpl";100;11200
"java.util.concurrent.atomic.AtomicInteger";99;1584
"scala.collection.mutable.WrappedArray$ofDouble";98;1568
"java.lang.ref.ReferenceQueue";98;3136
"java.lang.reflect.Method[ ]";98;4488
"scala.collection.TraversableOnce$$anonfun$foldLeft$1";98;2352
"com.siigna.app.model.SpatialModel$$anonfun$mbr$1";98;1568
"java.net.Socket";98;3136
"com.siigna.util.event.MouseMove";97;3104
"scala.actors.Channel";97;1552
"java.io.FileDescriptor";95;3040
"scala.collection.immutable.Vector";94;5264
"scala.actors.scheduler.ForkJoinScheduler$$anon$2";93;1488
"java.util.logging.LogManager$LoggerWeakRef";93;4464
"com.jprofiler.agent.probe.structures.o";92;3680
"scala.runtime.RichDouble";92;4416
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node";91;2912
"java.math.BigInteger";89;3560
"sun.java2d.loops.MaskBlit";88;4224
"scala.actors.remote.DelegateActor$$anonfun$act$1$$anonfun$apply$1";85;1360
"scala.actors.Channel$$anonfun$receiveWithin$1";85;2040
"scala.actors.Actor$$anon$5";85;3400
"scala.actors.ActorCanReply$$anonfun$$bang$qmark$1";85;1360
"scala.actors.Actor$$anonfun$1";85;2040
"java.util.HashSet";81;1296
"java.util.concurrent.ConcurrentHashMap$Segment[ ]";80;6400
"java.util.concurrent.ConcurrentHashMap";80;3840
"com.siigna.app.model.shape.Shape[ ]";75;4672
"java.util.zip.ZipFile$ZipFileInflaterInputStream";72;4032
"java.util.zip.ZipFile$ZipFileInputStream";72;4032
"java.net.URL";69;4416
"com.siigna.app.model.Drawing$$anonfun$4";66;1056
"com.siigna.app.model.Drawing$$anonfun$5";66;1056
"java.util.logging.LogManager$LogNode";66;1584
"sun.reflect.generics.tree.TypeArgument[ ]";66;1112
"sun.reflect.generics.tree.SimpleClassTypeSignature";66;1584
"scala.collection.parallel.immutable.ParVector$$anon$1";65;5200
"scala.collection.parallel.ParIterableLike$Foreach";65;2080
"scala.collection.parallel.immutable.ParVector";65;1560
"scala.actors.MQueue";65;2080
"com.siigna.util.event.MouseUp";64;2048
"scala.util.control.Breaks$$anon$1";64;1536
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$1";64;1536
"scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$2";64;1024
"com.jprofiler.agent.util.a.b";61;3416
"com.jprofiler.agent.util.a.i[ ]";61;8784
"com.jprofiler.agent.util.a.d[ ]";61;16976
"javax.management.MBeanAttributeInfo";60;1920
"scala.concurrent.forkjoin.ForkJoinPool$AdaptedRunnable";59;1888
"java.util.WeakHashMap$Entry[ ]";59;9104
"sun.reflect.DelegatingConstructorAccessorImpl";59;944
"java.lang.reflect.Constructor[ ]";58;1288
"java.util.ArrayList$Itr";58;1856
"scala.actors.Reactor$$anonfun$startSearch$1$$anonfun$apply$mcV$sp$1";57;912
"scala.collection.mutable.ArrayOps$ofRef";57;912
"scala.actors.Reactor$$anonfun$startSearch$1";57;1824
"sun.reflect.NativeConstructorAccessorImpl";56;1344
"java.net.InetSocketAddress";55;1320
"java.net.URI";55;4400
"scala.actors.remote.NamedSend";55;1760
"scala.Predef$ArrowAssoc";53;848
"sun.java2d.loops.SurfaceType";53;1696
"java.util.concurrent.locks.ReentrantLock";53;848
"com.siigna.util.event.MouseDown";52;1664
"java.util.WeakHashMap";52;2496
"scala.collection.parallel.ParIterableLike$Accessor$$anonfun$split$2";49;784
"scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl$$anonfun$split$1";49;784
"scala.collection.parallel.AdaptiveWorkStealingTasks$TaskImpl$$anonfun$spawnSubtasks$1";49;784
"scala.collection.parallel.ParIterableLike$SignalContextPassingIterator$$anonfun$split$1";49;784
"sun.util.locale.LocaleObjectCache$CacheEntry";48;2304
"javax.management.MBeanInfo";48;2304
"java.util.concurrent.CopyOnWriteArrayList";48;1152
"javax.management.MBeanAttributeInfo[ ]";48;2448
"sun.java2d.loops.MaskFill";47;2256
"sun.font.StrikeCache$SoftDisposerRef";47;2256
"sun.font.FileFontStrike";47;5640
"java.io.ExpiringCache$Entry";47;1128
"java.io.ObjectStreamField[ ]";47;1392
"sun.font.FontStrikeDisposer";47;2256
"java.lang.Package";47;2632
"java.security.Provider$ServiceKey";46;1104
"java.security.AccessControlContext";46;1472
"java.util.logging.Logger";46;2944
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig";46;1104
"scala.reflect.ClassTypeManifest";45;1080
"java.security.Principal[ ]";45;720
"scala.collection.parallel.ParIterableLike$Map";45;1800
"java.security.ProtectionDomain$Key";45;720
"java.security.ProtectionDomain";45;1800
"javax.management.openmbean.OpenMBeanAttributeInfoSupport";45;2880
"java.security.CodeSource";45;1440
"scala.collection.mutable.ArrayBuilder$ofRef";45;1440
"com.siigna.util.event.KeyDown";44;1056
"com.siigna.util.event.KeyUp";44;1056
"com.siigna.util.geom.TransformationMatrix$$anonfun$flipY$1";44;704
"javax.management.MBeanOperationInfo";43;1720
"com.jprofiler.agent.util.a.a.v";42;3024
"scala.collection.immutable.TrieIterator$$anon$1";42;2016
